distance,time,phase
3412.6452693107726,2025-03-18 09:01:28.741188232,P
3041.3671147321447,2025-03-18 09:01:28.741188232,P
3056.8370378395875,2025-03-18 09:01:28.741188232,P
3072.3069609470303,2025-03-18 09:01:28.741188232,P
3080.0419225007518,2025-03-18 09:01:28.741188232,P
3087.776884054473,2025-03-18 09:01:28.741188232,P
3095.5118456081946,2025-03-18 09:01:28.741188232,P
3103.246807161916,2025-03-18 09:01:28.741188232,P
3118.716730269359,2025-03-18 09:01:28.741188232,P
3141.921614930523,2025-03-18 09:01:28.741188232,P
3188.3313842528514,2025-03-18 09:01:28.741188232,P
3234.7411535751803,2025-03-18 09:01:28.741188232,P
3242.4761151289017,2025-03-18 09:01:28.741188232,P
3219.2712304677375,2025-03-18 09:01:28.741188232,P
3281.1509228975087,2025-03-18 09:01:28.741188232,P
3466.790000186823,2025-03-18 09:01:28.741188232,P
3451.32007707938,2025-03-18 09:01:28.741188232,P
3265.680999790066,2025-03-18 09:01:28.741188232,P
3435.850153971937,2025-03-18 09:01:28.741188232,P
3428.1151924182154,2025-03-18 09:01:28.741188232,P
3443.5851155256582,2025-03-18 09:01:28.741188232,P
3404.910307757051,2025-03-18 09:01:28.741188232,P
3381.705423095887,2025-03-18 09:01:28.741188232,P
3350.7655768810014,2025-03-18 09:01:28.741188232,P
3319.8257306661158,2025-03-18 09:01:28.741188232,P
3420.380230864494,2025-03-18 09:01:28.741188232,P
883.3128412438685,2025-03-18 09:01:28.765096436,P
3505.46480795543,2025-03-18 09:01:28.765096436,P
3010.427268517259,2025-03-18 09:01:28.765096436,P
2994.9573454098163,2025-03-18 09:01:28.765096436,P
2956.282537641209,2025-03-18 09:01:28.765096436,P
2925.342691426323,2025-03-18 09:01:28.765096436,P
829.1681103678186,2025-03-18 09:01:28.765096436,P
140.75653208661225,2025-03-18 09:01:28.765096436,P
790.4933025992115,2025-03-18 09:01:28.765096436,P
148.49149364033366,2025-03-18 09:01:28.765096436,P
163.9614167477765,2025-03-18 09:01:28.765096436,P
179.43133985521933,2025-03-18 09:01:28.765096436,P
187.16630140894077,2025-03-18 09:01:28.765096436,P
202.6362245163836,2025-03-18 09:01:28.765096436,P
210.371186070105,2025-03-18 09:01:28.765096436,P
241.31103228499072,2025-03-18 09:01:28.765096436,P
272.25087849987636,2025-03-18 09:01:28.765096436,P
326.3956093759263,2025-03-18 09:01:28.765096436,P
775.0233794917687,2025-03-18 09:01:28.765096436,P
767.2884179380472,2025-03-18 09:01:28.765096436,P
713.1436870619973,2025-03-18 09:01:28.765096436,P
674.4688792933902,2025-03-18 09:01:28.765096436,P
411.48018646686194,2025-03-18 09:01:28.765096436,P
643.5290330785045,2025-03-18 09:01:28.765096436,P
589.3843022024546,2025-03-18 09:01:28.765096436,P
573.9143790950118,2025-03-18 09:01:28.765096436,P
542.974532880126,2025-03-18 09:01:28.765096436,P
535.2395713264046,2025-03-18 09:01:28.765096436,P
519.7696482189618,2025-03-18 09:01:28.765096436,P
512.0346866652404,2025-03-18 09:01:28.765096436,P
496.56476355779756,2025-03-18 09:01:28.765096436,P
488.82980200407616,2025-03-18 09:01:28.765096436,P
481.0948404503547,2025-03-18 09:01:28.765096436,P
473.3598788966333,2025-03-18 09:01:28.765096436,P
465.6249173429119,2025-03-18 09:01:28.765096436,P
457.8899557891905,2025-03-18 09:01:28.765096436,P
450.154994235469,2025-03-18 09:01:28.765096436,P
612.5891868636188,2025-03-18 09:01:28.765096436,P
805.9632257066544,2025-03-18 09:01:28.765096436,P
380.54034025197626,2025-03-18 09:01:28.765096436,P
3551.8745772777584,2025-03-18 09:01:28.789004639,P
945.1925336736399,2025-03-18 09:01:28.789004639,P
1022.5421492108541,2025-03-18 09:01:28.789004639,P
2832.5231527816663,2025-03-18 09:01:28.789004639,P
2847.993075889109,2025-03-18 09:01:28.789004639,P
2863.462998996552,2025-03-18 09:01:28.789004639,P
2871.1979605502734,2025-03-18 09:01:28.789004639,P
2878.9329221039948,2025-03-18 09:01:28.789004639,P
2902.137806765159,2025-03-18 09:01:28.789004639,P
1610.399227293682,2025-03-18 09:01:28.812912842,P
2778.3784219056165,2025-03-18 09:01:28.812912842,P
2801.5833065667807,2025-03-18 09:01:28.812912842,P
3590.5493850463654,2025-03-18 09:01:28.812912842,P
1571.7244195250748,2025-03-18 09:01:28.812912842,P
1563.9894579713534,2025-03-18 09:01:28.812912842,P
1548.5195348639106,2025-03-18 09:01:28.812912842,P
1587.1943426325176,2025-03-18 09:01:28.812912842,P
1509.8447270953036,2025-03-18 09:01:28.812912842,P
1107.6267263017896,2025-03-18 09:01:28.812912842,P
1177.2413802852825,2025-03-18 09:01:28.812912842,P
1533.0496117564678,2025-03-18 09:01:28.812912842,P
1270.0609189299396,2025-03-18 09:01:28.812912842,P
1316.470688252268,2025-03-18 09:01:28.812912842,P
1339.6755729134322,2025-03-18 09:01:28.812912842,P
1231.3861111613323,2025-03-18 09:01:28.812912842,P
1401.5552653432037,2025-03-18 09:01:28.812912842,P
1424.760150004368,2025-03-18 09:01:28.812912842,P
1455.6999962192535,2025-03-18 09:01:28.812912842,P
1478.9048808804177,2025-03-18 09:01:28.812912842,P
1378.3503806820395,2025-03-18 09:01:28.812912842,P
