distance,time,phase
192.9572046572146,2025-06-23 10:11:18.897058350,P
193.73940044273937,2025-06-23 10:11:18.897058350,P
193.69051320614406,2025-06-23 10:11:18.897058350,P
193.59273873295348,2025-06-23 10:11:18.897058350,P
193.49496425976287,2025-06-23 10:11:18.897058350,P
193.39718978657228,2025-06-23 10:11:18.897058350,P
193.15275360359578,2025-06-23 10:11:18.897058350,P
193.10386636700048,2025-06-23 10:11:18.897058350,P
193.88606215252526,2025-06-23 10:11:18.897058350,P
193.05497913040517,2025-06-23 10:11:18.897058350,P
192.85943018402398,2025-06-23 10:11:18.897058350,P
192.8105429474287,2025-06-23 10:11:18.897058350,P
192.7616557108334,2025-06-23 10:11:18.897058350,P
192.7127684742381,2025-06-23 10:11:18.897058350,P
192.61499400104748,2025-06-23 10:11:18.897058350,P
192.5661067644522,2025-06-23 10:11:18.897058350,P
192.5172195278569,2025-06-23 10:11:18.897058350,P
193.0060918938099,2025-06-23 10:11:18.897058350,P
193.98383662571587,2025-06-23 10:11:18.897058350,P
193.25052807678637,2025-06-23 10:11:18.897058350,P
194.17938557209706,2025-06-23 10:11:18.897801758,P
192.370557818071,2025-06-23 10:11:18.897801758,P
192.4683322912616,2025-06-23 10:11:18.897801758,P
192.1261216350945,2025-06-23 10:11:18.898545166,P
192.0283471619039,2025-06-23 10:11:18.898545166,P
191.97945992530862,2025-06-23 10:11:18.898545166,P
191.881685452118,2025-06-23 10:11:18.898545166,P
194.27716004528764,2025-06-23 10:11:18.898545166,P
192.2238961082851,2025-06-23 10:11:18.898545166,P
194.42382175507353,2025-06-23 10:11:18.898545166,P
194.47270899166884,2025-06-23 10:11:18.898545166,P
194.52159622826414,2025-06-23 10:11:18.898545166,P
194.32604728188295,2025-06-23 10:11:18.898545166,P
192.2727833448804,2025-06-23 10:11:18.898545166,P
194.57048346485945,2025-06-23 10:11:18.898545166,P
195.40156648697953,2025-06-23 10:11:18.899288574,P
195.35267925038423,2025-06-23 10:11:18.899288574,P
195.25490477719362,2025-06-23 10:11:18.899288574,P
195.20601754059834,2025-06-23 10:11:18.899288574,P
191.8327982155227,2025-06-23 10:11:18.899288574,P
191.73502374233212,2025-06-23 10:11:18.899288574,P
191.6372492691415,2025-06-23 10:11:18.899288574,P
191.58836203254623,2025-06-23 10:11:18.899288574,P
194.66825793805003,2025-06-23 10:11:18.899288574,P
191.39281308616503,2025-06-23 10:11:18.899288574,P
191.34392584956973,2025-06-23 10:11:18.899288574,P
191.29503861297442,2025-06-23 10:11:18.899288574,P
195.10824306740773,2025-06-23 10:11:18.899288574,P
195.01046859421714,2025-06-23 10:11:18.899288574,P
194.91269412102653,2025-06-23 10:11:18.899288574,P
194.81491964783595,2025-06-23 10:11:18.899288574,P
194.71714517464534,2025-06-23 10:11:18.899288574,P
191.49058755935562,2025-06-23 10:11:18.899288574,P
191.53947479595092,2025-06-23 10:11:18.899288574,P
195.49934096017012,2025-06-23 10:11:18.900031981,P
191.24615137637912,2025-06-23 10:11:18.900031981,P
191.09948966659323,2025-06-23 10:11:18.900031981,P
191.14837690318853,2025-06-23 10:11:18.900031981,P
195.59711543336073,2025-06-23 10:11:18.900031981,P
