distance,picks,Phase,channel
67.2,,P,7
76.8,,P,8
86.4,,P,9
96.0,,P,10
105.6,,P,11
115.2,,P,12
124.8,,P,13
134.4,,P,14
144.0,2025-03-18 09:01:28.765096448,P,15
153.6,2025-03-18 09:01:28.765096448,P,16
163.2,2025-03-18 09:01:28.765096448,P,17
172.8,2025-03-18 09:01:28.765096448,P,18
182.4,2025-03-18 09:01:28.765096448,P,19
192.0,2025-03-18 09:01:28.765096448,P,20
201.6,2025-03-18 09:01:28.765096448,P,21
211.2,2025-03-18 09:01:28.765096448,P,22
220.8,2025-03-18 09:01:28.765096448,P,23
230.4,2025-03-18 09:01:28.765096448,P,24
240.0,2025-03-18 09:01:28.765096448,P,25
249.6,2025-03-18 09:01:28.765096448,P,26
259.2,2025-03-18 09:01:28.765096448,P,27
268.8,2025-03-18 09:01:28.765096448,P,28
278.4,2025-03-18 09:01:28.765096448,P,29
288.0,2025-03-18 09:01:28.765096448,P,30
297.6,2025-03-18 09:01:28.765096448,P,31
307.2,2025-03-18 09:01:28.765096448,P,32
316.8,2025-03-18 09:01:28.765096448,P,33
326.4,2025-03-18 09:01:28.765096448,P,34
336.0,2025-03-18 09:01:28.765096448,P,35
345.6,2025-03-18 09:01:28.765096448,P,36
355.2,2025-03-18 09:01:28.765096448,P,37
364.8,2025-03-18 09:01:28.765096448,P,38
374.4,2025-03-18 09:01:28.765096448,P,39
384.0,2025-03-18 09:01:28.765096448,P,40
393.6,2025-03-18 09:01:28.765096448,P,41
403.2,2025-03-18 09:01:28.765096448,P,42
412.8,2025-03-18 09:01:28.765096448,P,43
422.4,2025-03-18 09:01:28.765096448,P,44
432.0,2025-03-18 09:01:28.765096448,P,45
441.6,2025-03-18 09:01:28.765096448,P,46
451.2,2025-03-18 09:01:28.765096448,P,47
460.8,2025-03-18 09:01:28.765096448,P,48
470.4,2025-03-18 09:01:28.765096448,P,49
480.0,2025-03-18 09:01:28.765096448,P,50
489.6,2025-03-18 09:01:28.765096448,P,51
499.2,2025-03-18 09:01:28.765096448,P,52
508.8,2025-03-18 09:01:28.765096448,P,53
518.4,2025-03-18 09:01:28.765096448,P,54
528.0,2025-03-18 09:01:28.765096448,P,55
537.6,2025-03-18 09:01:28.765096448,P,56
547.2,2025-03-18 09:01:28.765096448,P,57
556.8,2025-03-18 09:01:28.765096448,P,58
566.4,2025-03-18 09:01:28.765096448,P,59
576.0,2025-03-18 09:01:28.765096448,P,60
585.6,2025-03-18 09:01:28.765096448,P,61
595.2,2025-03-18 09:01:28.765096448,P,62
604.8,2025-03-18 09:01:28.765096448,P,63
614.4,2025-03-18 09:01:28.765096448,P,64
624.0,2025-03-18 09:01:28.765096448,P,65
633.6,2025-03-18 09:01:28.765096448,P,66
643.2,2025-03-18 09:01:28.765096448,P,67
652.8,2025-03-18 09:01:28.765096448,P,68
662.4,2025-03-18 09:01:28.765096448,P,69
672.0,2025-03-18 09:01:28.765096448,P,70
681.6,2025-03-18 09:01:28.765096448,P,71
691.2,2025-03-18 09:01:28.765096448,P,72
700.8,2025-03-18 09:01:28.765096448,P,73
710.4,2025-03-18 09:01:28.765096448,P,74
720.0,2025-03-18 09:01:28.765096448,P,75
729.6,2025-03-18 09:01:28.765096448,P,76
739.2,2025-03-18 09:01:28.765096448,P,77
748.8,2025-03-18 09:01:28.765096448,P,78
758.4,2025-03-18 09:01:28.765096448,P,79
768.0,2025-03-18 09:01:28.765096448,P,80
777.6,2025-03-18 09:01:28.765096448,P,81
787.2,2025-03-18 09:01:28.765096448,P,82
796.8,2025-03-18 09:01:28.765096448,P,83
806.4,2025-03-18 09:01:28.765096448,P,84
816.0,2025-03-18 09:01:28.765096448,P,85
825.6,2025-03-18 09:01:28.765096448,P,86
835.2,2025-03-18 09:01:28.765096448,P,87
844.8,2025-03-18 09:01:28.765096448,P,88
854.4,2025-03-18 09:01:28.765096448,P,89
864.0,2025-03-18 09:01:28.765096448,P,90
873.6,2025-03-18 09:01:28.765096448,P,91
883.2,2025-03-18 09:01:28.765096448,P,92
892.8,2025-03-18 09:01:28.768761856,P,93
902.4,2025-03-18 09:01:28.772471040,P,94
912.0,2025-03-18 09:01:28.776180224,P,95
921.6,2025-03-18 09:01:28.779889152,P,96
931.2,2025-03-18 09:01:28.783598336,P,97
940.8,2025-03-18 09:01:28.787307520,P,98
950.4,2025-03-18 09:01:28.789004544,P,99
960.0,2025-03-18 09:01:28.789004544,P,100
969.6,2025-03-18 09:01:28.789004544,P,101
979.2,2025-03-18 09:01:28.789004544,P,102
988.8,2025-03-18 09:01:28.789004544,P,103
998.4,2025-03-18 09:01:28.789004544,P,104
1008.0,2025-03-18 09:01:28.789004544,P,105
1017.6,2025-03-18 09:01:28.789004544,P,106
1027.2,2025-03-18 09:01:28.790313472,P,107
1036.8,2025-03-18 09:01:28.793010944,P,108
1046.4,2025-03-18 09:01:28.795708416,P,109
1056.0,2025-03-18 09:01:28.798406144,P,110
1065.6,2025-03-18 09:01:28.801103616,P,111
1075.2,2025-03-18 09:01:28.803801088,P,112
1084.8,2025-03-18 09:01:28.806498816,P,113
1094.4,2025-03-18 09:01:28.809196288,P,114
1104.0,2025-03-18 09:01:28.811893760,P,115
1113.6,2025-03-18 09:01:28.812912896,P,116
1123.2,2025-03-18 09:01:28.812912896,P,117
1132.8,2025-03-18 09:01:28.812912896,P,118
1142.4,2025-03-18 09:01:28.812912896,P,119
1152.0,2025-03-18 09:01:28.812912896,P,120
1161.6,2025-03-18 09:01:28.812912896,P,121
1171.2,2025-03-18 09:01:28.812912896,P,122
1180.8,2025-03-18 09:01:28.812912896,P,123
1190.4,2025-03-18 09:01:28.812912896,P,124
1200.0,2025-03-18 09:01:28.812912896,P,125
1209.6,2025-03-18 09:01:28.812912896,P,126
1219.2,2025-03-18 09:01:28.812912896,P,127
1228.8,2025-03-18 09:01:28.812912896,P,128
1238.4,2025-03-18 09:01:28.812912896,P,129
1248.0,2025-03-18 09:01:28.812912896,P,130
1257.6,2025-03-18 09:01:28.812912896,P,131
1267.2,2025-03-18 09:01:28.812912896,P,132
1276.8,2025-03-18 09:01:28.812912896,P,133
1286.4,2025-03-18 09:01:28.812912896,P,134
1296.0,2025-03-18 09:01:28.812912896,P,135
1305.6,2025-03-18 09:01:28.812912896,P,136
1315.2,2025-03-18 09:01:28.812912896,P,137
1324.8,2025-03-18 09:01:28.812912896,P,138
1334.4,2025-03-18 09:01:28.812912896,P,139
1344.0,2025-03-18 09:01:28.812912896,P,140
1353.6,2025-03-18 09:01:28.812912896,P,141
1363.2,2025-03-18 09:01:28.812912896,P,142
1372.8,2025-03-18 09:01:28.812912896,P,143
1382.4,2025-03-18 09:01:28.812912896,P,144
1392.0,2025-03-18 09:01:28.812912896,P,145
1401.6,2025-03-18 09:01:28.812912896,P,146
1411.2,2025-03-18 09:01:28.812912896,P,147
1420.8,2025-03-18 09:01:28.812912896,P,148
1430.4,2025-03-18 09:01:28.812912896,P,149
1440.0,2025-03-18 09:01:28.812912896,P,150
1449.6,2025-03-18 09:01:28.812912896,P,151
1459.2,2025-03-18 09:01:28.812912896,P,152
1468.8,2025-03-18 09:01:28.812912896,P,153
1478.4,2025-03-18 09:01:28.812912896,P,154
1488.0,2025-03-18 09:01:28.812912896,P,155
1497.6,2025-03-18 09:01:28.812912896,P,156
1507.2,2025-03-18 09:01:28.812912896,P,157
1516.8,2025-03-18 09:01:28.812912896,P,158
1526.4,2025-03-18 09:01:28.812912896,P,159
1536.0,2025-03-18 09:01:28.812912896,P,160
1545.6,2025-03-18 09:01:28.812912896,P,161
1555.2,2025-03-18 09:01:28.812912896,P,162
1564.8,2025-03-18 09:01:28.812912896,P,163
1574.4,2025-03-18 09:01:28.812912896,P,164
1584.0,2025-03-18 09:01:28.812912896,P,165
1593.6,2025-03-18 09:01:28.812912896,P,166
1603.2,2025-03-18 09:01:28.812912896,P,167
1612.8,2025-03-18 09:01:28.815386368,P,168
1622.4,2025-03-18 09:01:28.825277440,P,169
1632.0,2025-03-18 09:01:28.835168256,P,170
1641.6,2025-03-18 09:01:28.836820992,P,171
1651.2,2025-03-18 09:01:28.836820992,P,172
1660.8,2025-03-18 09:01:28.836820992,P,173
1670.4,2025-03-18 09:01:28.836820992,P,174
1680.0,2025-03-18 09:01:28.836820992,P,175
